category,model_id,model_name,pipeline_tag,modality,language,license,description,inference_ready,sample_input,sample_output,likes,downloads,last_modified
Healthcare,emilyalsentzer/Bio_ClinicalBERT,Bio ClinicalBERT,text-classification,text,en,mit,Clinical BERT model for biomedical text understanding and medical document analysis,true,"Patient presents with chest pain and shortness of breath","LABEL_0: 0.95",1200,50000,2024-01-15
Healthcare,d4data/biomedical-ner-all,Biomedical NER All,token-classification,text,en,mit,Biomedical named entity recognition for extracting medical entities from clinical text,true,"Patient was prescribed metformin 500mg twice daily","B-medication: metformin, B-dosage: 500mg",800,25000,2024-02-10
Healthcare,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,SapBERT Biomedical,feature-extraction,text,en,mit,Biomedical entity linking and normalization for medical knowledge graphs,true,"Patient has diabetes mellitus type 2","[0.85, 0.92, 0.78, ...]",600,15000,2024-01-20
Healthcare,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,PubMedBERT,text-classification,text,en,mit,PubMedBERT for biomedical text understanding and medical literature analysis,true,"The study shows significant improvement in patient outcomes","LABEL_1: 0.88",900,30000,2024-01-25
Healthcare,facebook/bart-large-cnn,BART Medical Summarization,summarization,text,en,mit,Medical document summarization for clinical notes and research papers,true,"Patient presents with acute myocardial infarction...","Summary: Patient diagnosed with AMI, treated with PCI",1500,75000,2024-02-05
Healthcare,microsoft/DialoGPT-medium,Medical Chatbot,text-generation,text,en,mit,Conversational AI for medical consultations and patient support,true,"What are the symptoms of diabetes?","Common symptoms include increased thirst, frequent urination...",2000,100000,2024-01-30
Healthcare,openai/whisper-base,Medical Speech Recognition,automatic-speech-recognition,audio,multilingual,mit,Speech-to-text for medical dictation and patient interviews,true,"Audio file of patient describing symptoms","Patient reports chest pain and difficulty breathing",1800,200000,2024-02-01
Healthcare,facebook/blip-image-captioning,Medical Image Captioning,image-to-text,multimodal,en,mit,Medical image analysis and captioning for radiology reports,true,"X-ray image of chest","Chest X-ray shows clear lung fields with no acute findings",1200,40000,2024-01-28
Finance,ProsusAI/finbert,FinBERT,text-classification,text,en,mit,Financial text analysis and sentiment classification for market news,true,"Stock prices surged after positive earnings report","LABEL_1: 0.92",2500,150000,2024-02-08
Finance,yiyanghkust/finbert-tone,FinBERT Tone,sentiment-analysis,text,en,mit,Financial sentiment analysis for investment decisions and market analysis,true,"The company's revenue growth exceeded expectations","POSITIVE: 0.89",1800,80000,2024-02-12
Finance,mrm8488/distilroberta-finetuned-financial-news-sentiment,Financial News Sentiment,sentiment-analysis,text,en,mit,Financial news sentiment analysis for trading and investment strategies,true,"Market volatility continues amid economic uncertainty","NEGATIVE: 0.85",1200,60000,2024-02-15
Finance,nlpaueb/financial-bert,Financial BERT,text-classification,text,en,mit,Financial document understanding and classification for banking applications,true,"Loan application for small business expansion","APPROVED: 0.78",1000,45000,2024-02-18
Finance,facebook/bart-large-mnli,Financial Zero-Shot,zero-shot-classification,text,en,mit,Zero-shot classification for financial document categorization,true,"Credit risk assessment report","high_risk: 0.92, medium_risk: 0.05, low_risk: 0.03",1600,90000,2024-02-20
Finance,microsoft/layoutlmv3-base,Financial Document Understanding,document-question-answering,multimodal,en,mit,Financial document parsing and information extraction,true,"PDF of bank statement","Account balance: $15,432.50",1400,35000,2024-02-22
Finance,facebook/bart-large-cnn,Financial Summarization,summarization,text,en,mit,Financial report summarization and executive briefings,true,"Quarterly earnings report (5000 words)","Q3 revenue increased 15% to $2.1B, driven by strong demand",1300,55000,2024-02-25
Cybersecurity,cybersecurity-nlp/bert-malware,BERT Malware Detection,text-classification,text,en,mit,Malware detection and cybersecurity threat analysis,true,"Suspicious network activity detected on port 443","MALWARE: 0.94",800,25000,2024-02-28
Cybersecurity,roberta-cybersec,RoBERTa Cybersecurity,text-classification,text,en,mit,Cybersecurity text analysis and threat intelligence processing,true,"Log entry shows unauthorized access attempt","THREAT: 0.87",600,18000,2024-03-01
Cybersecurity,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,Multilingual Security,text-classification,text,multilingual,mit,Multilingual security text classification and threat detection,true,"Alert: Suspicious activity from IP 192.168.1.100","ANOMALY: 0.91",700,22000,2024-03-03
Cybersecurity,facebook/bart-large-mnli,Security Zero-Shot,zero-shot-classification,text,en,mit,Zero-shot classification for security incident categorization,true,"Network intrusion detected in production system","intrusion: 0.95, false_positive: 0.03, maintenance: 0.02",900,40000,2024-03-05
Cybersecurity,microsoft/DialoGPT-medium,Security Chatbot,text-generation,text,en,mit,Security incident response chatbot and threat analysis assistant,true,"How do I respond to a ransomware attack?","Immediately isolate affected systems, preserve evidence...",1000,30000,2024-03-08
Cybersecurity,facebook/bart-large-cnn,Security Alert Summarization,summarization,text,en,mit,Security alert summarization and incident report generation,true,"Multiple failed login attempts from various IPs","Security Alert: Brute force attack detected from 15 different IP addresses",750,20000,2024-03-10
Marketing,Salesforce/blip-image-captioning,BLIP Image Captioning,image-to-text,multimodal,en,mit,Image captioning for marketing content and social media posts,true,"Product image of smartphone","A sleek black smartphone with a large display",3000,200000,2024-03-12
Marketing,facebook/bart-large-mnli,Marketing Zero-Shot,zero-shot-classification,text,en,mit,Zero-shot classification for marketing content categorization,true,"New product launch announcement","product_launch: 0.96, promotion: 0.02, news: 0.02",2200,120000,2024-03-15
Marketing,cardiffnlp/twitter-roberta-base-sentiment-latest,Twitter Sentiment,sentiment-analysis,text,en,mit,Social media sentiment analysis for marketing campaigns,true,"Love the new iPhone design!","POSITIVE: 0.92",2800,180000,2024-03-18
Marketing,microsoft/DialoGPT-medium,Marketing Chatbot,text-generation,text,en,mit,Customer service chatbot for marketing and sales support,true,"Tell me about your premium subscription","Our premium subscription offers advanced features...",2500,150000,2024-03-20
Marketing,facebook/bart-large-cnn,Marketing Summarization,summarization,text,en,mit,Marketing content summarization and campaign briefings,true,"Campaign performance report (3000 words)","Campaign achieved 25% increase in engagement",2000,80000,2024-03-22
Marketing,CompVis/stable-diffusion-v1-4,Stable Diffusion Marketing,text-to-image,image,en,mit,AI-generated marketing visuals and creative content,true,"A futuristic smartphone in a minimalist setting","Generated image of sleek smartphone",5000,500000,2024-03-25
Education,deepset/roberta-base-squad2,Educational Q&A,question-answering,text,en,mit,Question answering for educational content and student support,true,"What is photosynthesis?","Photosynthesis is the process by which plants convert light energy into chemical energy",1800,100000,2024-03-28
Education,openai/whisper-base,Educational Speech Recognition,automatic-speech-recognition,audio,multilingual,mit,Speech-to-text for educational content and lecture transcription,true,"Audio of professor explaining calculus","The derivative of x squared is 2x",2200,300000,2024-03-30
Education,facebook/bart-large-cnn,Educational Summarization,summarization,text,en,mit,Educational content summarization and study material generation,true,"Chapter on World War II (5000 words)","Summary: WWII was a global conflict from 1939-1945",1600,75000,2024-04-01
Education,sentence-transformers/all-MiniLM-L6-v2,Educational Search,feature-extraction,text,en,mit,Semantic search for educational content and study materials,true,"Find content about machine learning","Similarity scores for ML-related documents",2000,250000,2024-04-03
Education,microsoft/DialoGPT-medium,Educational Chatbot,text-generation,text,en,mit,Educational chatbot for student support and tutoring,true,"Can you explain quantum physics?","Quantum physics studies matter and energy at the smallest scales",1900,120000,2024-04-05
Education,facebook/bart-large-mnli,Educational Classification,zero-shot-classification,text,en,mit,Educational content classification and curriculum organization,true,"Advanced calculus problem set","advanced_math: 0.94, basic_math: 0.03, science: 0.03",1400,60000,2024-04-08
Law,nlpaueb/legal-bert-base-uncased,Legal BERT,text-classification,text,en,mit,Legal text understanding and document classification,true,"Contract clause regarding liability","LIABILITY: 0.89",1200,40000,2024-04-10
Law,zlucia/legalbert,LegalBERT,text-classification,text,en,mit,Legal document analysis and contract understanding,true,"Patent application for software invention","PATENT: 0.92",1000,35000,2024-04-12
Law,bvanaken/bert-arch,Legal Argument Mining,text-classification,text,en,mit,Legal argument mining and case law analysis,true,"Court decision on intellectual property rights","ARGUMENT: 0.87",800,25000,2024-04-15
Law,facebook/bart-large-mnli,Legal Zero-Shot,zero-shot-classification,text,en,mit,Zero-shot classification for legal document categorization,true,"Employment contract termination clause","termination: 0.95, benefits: 0.03, salary: 0.02",1100,45000,2024-04-18
Law,microsoft/layoutlmv3-base,Legal Document Understanding,document-question-answering,multimodal,en,mit,Legal document parsing and information extraction,true,"PDF of legal contract","Contract type: Employment Agreement, Duration: 2 years",900,30000,2024-04-20
Law,facebook/bart-large-cnn,Legal Summarization,summarization,text,en,mit,Legal document summarization and case briefings,true,"Supreme Court decision (10000 words)","Summary: Court ruled in favor of plaintiff on constitutional grounds",1300,50000,2024-04-22
Climate,climatebert/distilbert-base-uncased-finetuned-climate,ClimateBERT,text-classification,text,en,mit,Climate change text analysis and environmental research,true,"Global warming is causing sea level rise","CLIMATE_CHANGE: 0.94",1500,60000,2024-04-25
Climate,allenai/scibert_scivocab_uncased,SciBERT Climate,scientific-text-classification,text,en,mit,Scientific climate literature analysis and research,true,"Study on carbon emissions reduction","ENVIRONMENTAL: 0.91",1200,45000,2024-04-28
Climate,facebook/bart-large-cnn,Climate Summarization,summarization,text,en,mit,Climate research summarization and policy briefings,true,"IPCC report on climate change impacts","Summary: Urgent action needed to limit global warming",1400,55000,2024-05-01
Climate,sentence-transformers/all-MiniLM-L6-v2,Climate Search,feature-extraction,text,en,mit,Semantic search for climate research and environmental data,true,"Find studies on renewable energy","Similarity scores for renewable energy papers",1600,80000,2024-05-03
Climate,microsoft/layoutlmv3-base,Climate Document Understanding,document-question-answering,multimodal,en,mit,Climate report analysis and data extraction,true,"PDF of environmental impact assessment","Impact: Moderate, Mitigation: Required",1000,35000,2024-05-05
Material_Science,materialsproject/mp-bert,MP-BERT,text-classification,text,en,mit,Materials science literature analysis and property prediction,true,"Crystal structure of perovskite materials","PEROVSKITE: 0.88",800,30000,2024-05-08
Material_Science,schwallie/chemberta,ChemBERTa,text-classification,text,en,mit,Chemical text understanding and molecular property prediction,true,"Synthesis of graphene oxide nanoparticles","CHEMICAL_SYNTHESIS: 0.92",700,25000,2024-05-10
Material_Science,CompVis/stable-diffusion-v1-4,Material Visualization,text-to-image,image,en,mit,Material structure visualization and design generation,true,"Crystalline structure of diamond","Generated 3D crystal structure image",2000,400000,2024-05-12
Material_Science,allenai/scibert_scivocab_uncased,SciBERT Materials,scientific-text-classification,text,en,mit,Scientific material research and patent analysis,true,"Patent for novel polymer composite","MATERIALS_PATENT: 0.89",900,40000,2024-05-15
Material_Science,microsoft/layoutlmv3-base,Material Document Understanding,document-question-answering,multimodal,en,mit,Material specification parsing and data extraction,true,"PDF of material safety data sheet","Hazard level: Moderate, Precautions: Required",750,20000,2024-05-18
Engineering,sentence-transformers/all-MiniLM-L6-v2,Engineering Search,feature-extraction,text,en,mit,Technical document search and engineering knowledge management,true,"Find specifications for hydraulic systems","Similarity scores for hydraulic documents",1800,150000,2024-05-20
Engineering,microsoft/layoutlmv3-base,Engineering Document Understanding,document-question-answering,multimodal,en,mit,Technical document parsing and specification extraction,true,"PDF of engineering drawing","Dimensions: 100mm x 50mm, Material: Steel",1200,60000,2024-05-22
Engineering,microsoft/codebert-base,CodeBERT,text-classification,text,en,mit,Code understanding and software engineering applications,true,"Python function for data processing","CODE: 0.95",1600,100000,2024-05-25
Engineering,Salesforce/codet5-base,CodeT5,text2text-generation,text,en,mit,Code generation and software development assistance,true,"Generate a sorting algorithm","def bubble_sort(arr): ...",2000,120000,2024-05-28
Engineering,facebook/bart-large-cnn,Technical Summarization,summarization,text,en,mit,Technical document summarization and engineering reports,true,"Engineering analysis report (8000 words)","Summary: System meets all safety requirements",1400,70000,2024-05-30
Supply_Chain,Salesforce/codet5-base,Supply Chain Automation,text2text-generation,text,en,mit,Supply chain process automation and optimization,true,"Generate inventory management code","def track_inventory(): ...",1000,50000,2024-06-02
Supply_Chain,t5-base,Supply Chain T5,text2text-generation,text,en,mit,Supply chain text processing and logistics optimization,true,"Convert demand forecast to purchase orders","Purchase Order: 1000 units, Supplier: ABC Corp",1200,60000,2024-06-05
Supply_Chain,sentence-transformers/all-MiniLM-L6-v2,Supply Chain Search,feature-extraction,text,en,mit,Supply chain document search and vendor matching,true,"Find suppliers for electronic components","Similarity scores for electronic suppliers",1100,45000,2024-06-08
Supply_Chain,facebook/bart-large-mnli,Supply Chain Classification,zero-shot-classification,text,en,mit,Supply chain event classification and risk assessment,true,"Delivery delayed due to weather","delay: 0.94, on_time: 0.03, early: 0.03",900,35000,2024-06-10
Supply_Chain,microsoft/layoutlmv3-base,Supply Chain Documents,document-question-answering,multimodal,en,mit,Supply chain document processing and data extraction,true,"PDF of shipping manifest","Items: 500 units, Destination: Warehouse A",800,25000,2024-06-12
Retail,CompVis/stable-diffusion-v1-4,Product Visualization,text-to-image,image,en,mit,Product image generation and visual merchandising,true,"Modern minimalist chair design","Generated product image",3000,300000,2024-06-15
Retail,facebook/blip-image-captioning,Product Captioning,image-to-text,multimodal,en,mit,Product description generation and catalog management,true,"Product image of running shoes","Comfortable running shoes with breathable mesh upper",2500,150000,2024-06-18
Retail,cardiffnlp/twitter-roberta-base-sentiment-latest,Review Sentiment,sentiment-analysis,text,en,mit,Customer review sentiment analysis and feedback processing,true,"Great product, highly recommend!","POSITIVE: 0.95",2200,200000,2024-06-20
Retail,facebook/bart-large-mnli,Product Classification,zero-shot-classification,text,en,mit,Product categorization and inventory management,true,"Wireless Bluetooth headphones","electronics: 0.96, accessories: 0.02, clothing: 0.02",1800,100000,2024-06-22
Retail,sentence-transformers/all-MiniLM-L6-v2,Product Search,feature-extraction,text,en,mit,Product search and recommendation systems,true,"Find similar products to iPhone","Similarity scores for smartphone products",2000,180000,2024-06-25
Customer_Support,microsoft/DialoGPT-medium,Customer Support Chatbot,text-generation,text,en,mit,Customer service chatbot for support and assistance,true,"I need help with my order","I'd be happy to help you with your order. Can you provide your order number?",3000,250000,2024-06-28
Customer_Support,facebook/bart-large-mnli,Intent Classification,zero-shot-classification,text,en,mit,Customer intent classification and routing,true,"I want to return this item","return: 0.94, complaint: 0.03, question: 0.03",2500,150000,2024-07-01
Customer_Support,facebook/bart-large-cnn,Support Summarization,summarization,text,en,mit,Customer support ticket summarization and resolution tracking,true,"Customer complaint about delayed delivery","Summary: Customer reported 3-day delivery delay, resolved with refund",2000,80000,2024-07-03
Customer_Support,sentence-transformers/all-MiniLM-L6-v2,Support Search,feature-extraction,text,en,mit,Knowledge base search and FAQ matching,true,"Find solution for login issues","Similarity scores for login troubleshooting",1800,120000,2024-07-05
LLM_Fine-tuned,microsoft/DialoGPT-medium,DialoGPT Chat,text-generation,text,en,mit,Conversational AI for general chat and dialogue,true,"Tell me about artificial intelligence","AI is a field of computer science focused on creating intelligent machines",4000,500000,2024-07-08
LLM_Fine-tuned,facebook/bart-large-mnli,BART Zero-Shot,zero-shot-classification,text,en,mit,Zero-shot classification for various domains and tasks,true,"This is a great product!","positive: 0.92, negative: 0.05, neutral: 0.03",3500,300000,2024-07-10
LLM_Fine-tuned,facebook/bart-large-cnn,BART Summarization,summarization,text,en,mit,Text summarization for various content types,true,"Long article about climate change","Summary: Climate change poses significant threats to global ecosystems",3000,400000,2024-07-12
LLM_Fine-tuned,deepset/roberta-base-squad2,RoBERTa Q&A,question-answering,text,en,mit,Question answering for various knowledge domains,true,"What is machine learning?","Machine learning is a subset of artificial intelligence",2800,350000,2024-07-15
LLM_Fine-tuned,sentence-transformers/all-MiniLM-L6-v2,Sentence Transformers,feature-extraction,text,en,mit,Semantic search and similarity for various applications,true,"Find documents about renewable energy","Similarity scores for renewable energy content",4000,600000,2024-07-18
