category,model_name,description,task,model_url,script_path
Marketing,bert-base-uncased,General purpose BERT model for text classification and sentiment analysis,text-classification,https://huggingface.co/bert-base-uncased,sunnysett_models/Marketing/bert_base_uncased.py
Marketing,facebook/bart-large-mnli,BART model fine-tuned on Multi-Genre Natural Language Inference for zero-shot classification,zero-shot-classification,https://huggingface.co/facebook/bart-large-mnli,sunnysett_models/Marketing/facebook_bart_large_mnli.py
Marketing,Salesforce/blip-image-captioning,BLIP model for image captioning and visual question answering,image-to-text,https://huggingface.co/Salesforce/blip-image-captioning,sunnysett_models/Marketing/Salesforce_blip_image_captioning.py
Marketing,cardiffnlp/twitter-roberta-base-sentiment-latest,RoBERTa model fine-tuned for Twitter sentiment analysis,sentiment-analysis,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,sunnysett_models/Marketing/cardiffnlp_twitter_roberta_base_sentiment_latest.py
Marketing,microsoft/DialoGPT-medium,DialoGPT model for conversational AI and chatbot applications,text-generation,https://huggingface.co/microsoft/DialoGPT-medium,sunnysett_models/Marketing/microsoft_DialoGPT_medium.py
Finance,ProsusAI/finbert,BERT model pre-trained on financial communication text,text-classification,https://huggingface.co/ProsusAI/finbert,sunnysett_models/Finance/ProsusAI_finbert.py
Finance,yiyanghkust/finbert-tone,FinBERT model fine-tuned for financial sentiment analysis,sentiment-analysis,https://huggingface.co/yiyanghkust/finbert-tone,sunnysett_models/Finance/yiyanghkust_finbert_tone.py
Finance,mrm8488/distilroberta-finetuned-financial-news-sentiment,DistilRoBERTa model fine-tuned for financial news sentiment,sentiment-analysis,https://huggingface.co/mrm8488/distilroberta-finetuned-financial-news-sentiment,sunnysett_models/Finance/mrm8488_distilroberta_finetuned_financial_news_sentiment.py
Finance,nlpaueb/financial-bert,Financial BERT model for financial text understanding,text-classification,https://huggingface.co/nlpaueb/financial-bert,sunnysett_models/Finance/nlpaueb_financial_bert.py
Finance,microsoft/DialoGPT-medium,DialoGPT for financial chatbot applications,text-generation,https://huggingface.co/microsoft/DialoGPT-medium,sunnysett_models/Finance/microsoft_DialoGPT_medium.py
Material_Science,materialsproject/mp-bert,BERT model trained on materials science literature,text-classification,https://huggingface.co/materialsproject/mp-bert,sunnysett_models/Material_Science/materialsproject_mp_bert.py
Material_Science,schwallie/chemberta,ChemBERTa model for chemical text understanding,text-classification,https://huggingface.co/schwallie/chemberta,sunnysett_models/Material_Science/schwallie_chemberta.py
Material_Science,CompVis/stable-diffusion-v1-4,Stable Diffusion for generating material visualizations,text-to-image,https://huggingface.co/CompVis/stable-diffusion-v1-4,sunnysett_models/Material_Science/CompVis_stable_diffusion_v1_4.py
Material_Science,allenai/scibert_scivocab_uncased,SciBERT model for scientific text understanding,text-classification,https://huggingface.co/allenai/scibert_scivocab_uncased,sunnysett_models/Material_Science/allenai_scibert_scivocab_uncased.py
Material_Science,microsoft/layoutlmv3-base,LayoutLMv3 for document understanding and material data extraction,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Material_Science/microsoft_layoutlmv3_base.py
Engineering,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for semantic search and similarity,feature-extraction,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sunnysett_models/Engineering/sentence_transformers_all_MiniLM_L6_v2.py
Engineering,microsoft/layoutlmv3-base,LayoutLMv3 for technical document understanding,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Engineering/microsoft_layoutlmv3_base.py
Engineering,microsoft/codebert-base,CodeBERT for code understanding and generation,text-classification,https://huggingface.co/microsoft/codebert-base,sunnysett_models/Engineering/microsoft_codebert_base.py
Engineering,Salesforce/codet5-base,CodeT5 for code generation and summarization,text2text-generation,https://huggingface.co/Salesforce/codet5-base,sunnysett_models/Engineering/Salesforce_codet5_base.py
Engineering,facebook/bart-large-cnn,BART model for text summarization of technical documents,summarization,https://huggingface.co/facebook/bart-large-cnn,sunnysett_models/Engineering/facebook_bart_large_cnn.py
Cybersecurity,cybersecurity-nlp/bert-malware,BERT model trained for malware detection and analysis,text-classification,https://huggingface.co/cybersecurity-nlp/bert-malware,sunnysett_models/Cybersecurity/cybersecurity_nlp_bert_malware.py
Cybersecurity,roberta-cybersec,RoBERTa model fine-tuned for cybersecurity text analysis,text-classification,https://huggingface.co/roberta-cybersec,sunnysett_models/Cybersecurity/roberta_cybersec.py
Cybersecurity,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,Multilingual RoBERTa for natural language inference in security contexts,text-classification,https://huggingface.co/symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,sunnysett_models/Cybersecurity/symanto_sn_xlm_roberta_base_snli_mnli_anli_xnli.py
Cybersecurity,microsoft/DialoGPT-medium,DialoGPT for security chatbot and incident response,text-generation,https://huggingface.co/microsoft/DialoGPT-medium,sunnysett_models/Cybersecurity/microsoft_DialoGPT_medium.py
Cybersecurity,facebook/bart-large-mnli,BART for zero-shot classification of security threats,zero-shot-classification,https://huggingface.co/facebook/bart-large-mnli,sunnysett_models/Cybersecurity/facebook_bart_large_mnli.py
Healthcare,emilyalsentzer/Bio_ClinicalBERT,Clinical BERT model for biomedical text understanding,text-classification,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT,sunnysett_models/Healthcare/emilyalsentzer_Bio_ClinicalBERT.py
Healthcare,d4data/biomedical-ner-all,Biomedical NER model for extracting medical entities,token-classification,https://huggingface.co/d4data/biomedical-ner-all,sunnysett_models/Healthcare/d4data_biomedical_ner_all.py
Healthcare,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,SapBERT for biomedical entity linking and normalization,feature-extraction,https://huggingface.co/cambridgeltl/SapBERT-from-PubMedBERT-fulltext,sunnysett_models/Healthcare/cambridgeltl_SapBERT_from_PubMedBERT_fulltext.py
Healthcare,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,PubMedBERT for biomedical text understanding,text-classification,https://huggingface.co/microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,sunnysett_models/Healthcare/microsoft_BiomedNLP_PubMedBERT_base_uncased_abstract_fulltext.py
Healthcare,facebook/bart-large-cnn,BART for medical document summarization,summarization,https://huggingface.co/facebook/bart-large-cnn,sunnysett_models/Healthcare/facebook_bart_large_cnn.py
Supply_Chain,Salesforce/codet5-base,CodeT5 for supply chain code analysis and automation,text2text-generation,https://huggingface.co/Salesforce/codet5-base,sunnysett_models/Supply_Chain/Salesforce_codet5_base.py
Supply_Chain,t5-base,T5 model for text-to-text tasks in supply chain management,text2text-generation,https://huggingface.co/t5-base,sunnysett_models/Supply_Chain/t5_base.py
Supply_Chain,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for supply chain document similarity,feature-extraction,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sunnysett_models/Supply_Chain/sentence_transformers_all_MiniLM_L6_v2.py
Supply_Chain,facebook/bart-large-mnli,BART for zero-shot classification of supply chain events,zero-shot-classification,https://huggingface.co/facebook/bart-large-mnli,sunnysett_models/Supply_Chain/facebook_bart_large_mnli.py
Supply_Chain,microsoft/layoutlmv3-base,LayoutLMv3 for processing supply chain documents and forms,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Supply_Chain/microsoft_layoutlmv3_base.py
Education,deepset/roberta-base-squad2,RoBERTa model fine-tuned for question answering,question-answering,https://huggingface.co/deepset/roberta-base-squad2,sunnysett_models/Education/deepset_roberta_base_squad2.py
Education,openai/whisper-base,Whisper model for speech recognition and transcription,automatic-speech-recognition,https://huggingface.co/openai/whisper-base,sunnysett_models/Education/openai_whisper_base.py
Education,facebook/bart-large-cnn,BART for educational content summarization,summarization,https://huggingface.co/facebook/bart-large-cnn,sunnysett_models/Education/facebook_bart_large_cnn.py
Education,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for educational content similarity,feature-extraction,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sunnysett_models/Education/sentence_transformers_all_MiniLM_L6_v2.py
Education,microsoft/DialoGPT-medium,DialoGPT for educational chatbots and tutoring,text-generation,https://huggingface.co/microsoft/DialoGPT-medium,sunnysett_models/Education/microsoft_DialoGPT_medium.py
Law,nlpaueb/legal-bert-base-uncased,Legal BERT model for legal text understanding,text-classification,https://huggingface.co/nlpaueb/legal-bert-base-uncased,sunnysett_models/Law/nlpaueb_legal_bert_base_uncased.py
Law,zlucia/legalbert,LegalBERT model for legal document analysis,text-classification,https://huggingface.co/zlucia/legalbert,sunnysett_models/Law/zlucia_legalbert.py
Law,bvanaken/bert-arch,BERT-ARCH for legal argument mining,text-classification,https://huggingface.co/bvanaken/bert-arch,sunnysett_models/Law/bvanaken_bert_arch.py
Law,facebook/bart-large-mnli,BART for zero-shot legal text classification,zero-shot-classification,https://huggingface.co/facebook/bart-large-mnli,sunnysett_models/Law/facebook_bart_large_mnli.py
Law,microsoft/layoutlmv3-base,LayoutLMv3 for legal document understanding,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Law/microsoft_layoutlmv3_base.py
Climate,climatebert/distilbert-base-uncased-finetuned-climate,ClimateBERT model for climate-related text analysis,text-classification,https://huggingface.co/climatebert/distilbert-base-uncased-finetuned-climate,sunnysett_models/Climate/climatebert_distilbert_base_uncased_finetuned_climate.py
Climate,allenai/scibert_scivocab_uncased,SciBERT for scientific climate literature analysis,text-classification,https://huggingface.co/allenai/scibert_scivocab_uncased,sunnysett_models/Climate/allenai_scibert_scivocab_uncased.py
Climate,facebook/bart-large-cnn,BART for climate research summarization,summarization,https://huggingface.co/facebook/bart-large-cnn,sunnysett_models/Climate/facebook_bart_large_cnn.py
Climate,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for climate document similarity,feature-extraction,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sunnysett_models/Climate/sentence_transformers_all_MiniLM_L6_v2.py
Climate,microsoft/layoutlmv3-base,LayoutLMv3 for climate report document understanding,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Climate/microsoft_layoutlmv3_base.py
